Region:, Group 1: medtr,Other, Total
0,0,700,700
1,614,0,614
2,479,0,479
3,442,0,442
4,423,0,423
5,0,403,403
6,0,384,384
7,379,0,379
8,0,377,377
9,364,0,364
10,363,0,363
11,339,0,339
12,1,340,341
13,334,0,334
14,0,331,331
15,0,327,327
16,321,0,321
17,0,315,315
18,314,0,314
19,307,0,307
20,306,0,306
21,305,0,305
22,301,0,301
23,297,0,297
24,292,0,292
25,0,292,292
26,290,0,290
27,278,0,278
28,276,0,276
29,0,276,276
30,273,0,273
31,272,0,272
32,0,261,261
33,260,0,260
34,259,0,259
35,259,0,259
36,254,0,254
37,0,253,253
38,0,252,252
39,0,248,248
40,0,243,243
41,0,243,243
42,241,0,241
43,237,0,237
44,234,0,234
45,232,0,232
46,231,0,231
47,229,0,229
48,229,0,229
49,0,229,229
50,0,227,227
51,226,0,226
52,0,226,226
53,0,225,225
54,0,225,225
55,0,224,224
56,223,0,223
57,222,0,222
58,0,222,222
59,0,222,222
60,221,0,221
61,0,221,221
62,0,221,221
63,220,0,220
64,0,219,219
65,0,219,219
66,0,219,219
67,0,218,218
68,217,0,217
69,0,217,217
70,0,217,217
71,216,0,216
72,216,0,216
73,0,216,216
74,0,216,216
75,0,216,216
76,0,215,215
77,0,214,214
78,0,214,214
79,213,0,213
80,0,213,213
81,212,0,212
82,0,212,212
83,0,212,212
84,211,0,211
85,211,0,211
86,0,211,211
87,0,211,211
88,210,0,210
89,0,210,210
90,0,209,209
91,0,209,209
92,208,0,208
93,0,208,208
94,0,208,208
95,0,208,208
96,0,207,207
97,0,207,207
98,0,207,207
99,0,207,207
100,206,0,206
101,206,0,206
102,0,206,206
103,0,206,206
104,0,205,205
105,0,205,205
106,205,0,205
107,204,0,204
108,0,204,204
109,0,204,204
110,0,204,204
111,0,204,204
112,203,0,203
113,0,203,203
114,0,203,203
115,0,203,203
116,0,203,203
117,0,203,203
118,202,0,202
119,0,202,202
120,0,202,202
121,0,202,202
122,0,202,202
123,0,202,202
124,201,0,201
125,201,0,201
126,0,201,201
127,0,201,201
128,200,0,200
129,0,200,200
130,0,200,200
131,0,200,200
132,0,200,200
133,0,200,200
134,0,200,200
135,0,200,200
136,199,0,199
137,0,199,199
138,0,199,199
139,0,199,199
140,0,199,199
141,0,199,199
142,0,199,199
143,199,0,199
144,198,0,198
145,0,198,198
146,0,198,198
147,0,198,198
148,0,198,198
149,197,0,197
150,0,197,197
151,0,197,197
152,196,0,196
153,0,196,196
154,0,196,196
155,0,196,196
156,0,196,196
157,0,196,196
158,0,196,196
159,0,196,196
160,0,196,196
161,0,196,196
162,195,0,195
163,0,195,195
164,0,195,195
165,0,195,195
166,0,195,195
167,0,195,195
168,0,195,195
169,194,0,194
170,0,194,194
171,0,194,194
172,0,194,194
173,193,0,193
174,193,0,193
175,0,193,193
176,0,193,193
177,0,193,193
178,0,193,193
179,0,193,193
180,0,193,193
181,0,193,193
182,192,0,192
183,192,0,192
184,0,192,192
185,0,192,192
186,0,192,192
187,0,192,192
188,0,192,192
189,0,192,192
190,0,192,192
191,191,0,191
192,0,191,191
193,0,191,191
194,0,191,191
195,0,191,191
196,0,191,191
197,0,191,191
198,0,191,191
199,0,191,191
200,191,0,191
201,0,190,190
202,0,190,190
203,0,190,190
204,0,190,190
205,189,0,189
206,189,0,189
207,0,189,189
208,0,189,189
209,0,189,189
210,0,189,189
211,0,189,189
212,0,189,189
213,0,189,189
214,0,189,189
215,0,189,189
216,188,0,188
217,0,188,188
218,0,188,188
219,0,168,168
220,0,3,3
221,0,1,1
