Region:, Group 1: medtr,Other, Total
0:0,0,365,365
0:1,0,335,335
1:0,429,0,429
1:1,159,0,159
1:2,18,0,18
1:3,8,0,8
2:0,388,0,388
2:1,91,0,91
3:0,225,0,225
3:1,215,0,215
3:2,1,0,1
3:3,1,0,1
4:0,236,0,236
4:1,187,0,187
5:0,0,234,234
5:1,0,169,169
6:0,0,199,199
6:1,0,184,184
6:2,0,1,1
7:0,192,0,192
7:1,187,0,187
8:0,0,196,196
8:1,0,180,180
8:2,0,1,1
9:0,186,0,186
9:1,176,0,176
9:2,1,0,1
9:3,1,0,1
10:0,199,0,199
10:1,164,0,164
11:0,177,0,177
11:1,162,0,162
12:0,1,167,168
12:1,0,165,165
12:2,0,4,4
12:3,0,2,2
12:4,0,1,1
12:5,0,1,1
13:0,175,0,175
13:1,158,0,158
13:2,1,0,1
14:0,0,168,168
14:1,0,163,163
15:0,0,166,166
15:1,0,159,159
15:2,0,2,2
16:0,165,0,165
16:1,152,0,152
16:2,4,0,4
17:0,0,158,158
17:1,0,154,154
17:2,0,2,2
17:3,0,1,1
18:0,160,0,160
18:1,154,0,154
19:0,151,0,151
19:1,146,0,146
19:2,9,0,9
19:3,1,0,1
20:0,155,0,155
20:1,151,0,151
21:0,120,0,120
21:1,93,0,93
21:2,51,0,51
21:3,41,0,41
22:0,154,0,154
22:1,147,0,147
23:0,156,0,156
23:1,140,0,140
23:2,1,0,1
24:0,112,0,112
24:1,86,0,86
24:2,52,0,52
24:3,42,0,42
25:0,0,147,147
25:1,0,145,145
26:0,289,0,289
26:1,1,0,1
27:0,146,0,146
27:1,127,0,127
27:2,2,0,2
27:3,1,0,1
27:4,1,0,1
27:5,1,0,1
28:0,139,0,139
28:1,137,0,137
29:0,0,139,139
29:1,0,137,137
30:0,143,0,143
30:1,130,0,130
31:0,143,0,143
31:1,126,0,126
31:2,2,0,2
31:3,1,0,1
32:0,0,138,138
32:1,0,121,121
32:2,0,2,2
33:0,151,0,151
33:1,109,0,109
34:0,129,0,129
34:1,123,0,123
34:2,5,0,5
34:3,2,0,2
35:0,133,0,133
35:1,126,0,126
36:0,135,0,135
36:1,119,0,119
37:0,0,122,122
37:1,0,117,117
37:2,0,9,9
37:3,0,5,5
38:0,0,140,140
38:1,0,112,112
39:0,0,136,136
39:1,0,112,112
40:0,0,138,138
40:1,0,105,105
41:0,0,135,135
41:1,0,108,108
42:0,124,0,124
42:1,116,0,116
42:2,1,0,1
43:0,120,0,120
43:1,117,0,117
44:0,119,0,119
44:1,113,0,113
44:2,1,0,1
44:3,1,0,1
45:0,123,0,123
45:1,107,0,107
45:2,1,0,1
45:3,1,0,1
46:0,126,0,126
46:1,105,0,105
47:0,118,0,118
47:1,111,0,111
48:0,173,0,173
48:1,55,0,55
48:2,1,0,1
49:0,0,116,116
49:1,0,112,112
49:2,0,1,1
50:0,0,133,133
50:1,0,94,94
51:0,136,0,136
51:1,90,0,90
52:0,0,127,127
52:1,0,99,99
53:0,0,84,84
53:1,0,61,61
53:2,0,46,46
53:3,0,34,34
54:0,0,122,122
54:1,0,103,103
55:0,0,119,119
55:1,0,105,105
56:0,81,0,81
56:1,73,0,73
56:2,41,0,41
56:3,28,0,28
57:0,112,0,112
57:1,109,0,109
57:2,1,0,1
58:0,0,78,78
58:1,0,78,78
58:2,0,43,43
58:3,0,23,23
59:0,0,119,119
59:1,0,103,103
60:0,112,0,112
60:1,109,0,109
61:0,0,111,111
61:1,0,110,110
62:0,0,123,123
62:1,0,94,94
62:2,0,2,2
62:3,0,2,2
63:0,117,0,117
63:1,103,0,103
64:0,0,125,125
64:1,0,79,79
64:2,0,10,10
64:3,0,5,5
65:0,0,117,117
65:1,0,102,102
66:0,0,126,126
66:1,0,93,93
67:0,0,132,132
67:1,0,83,83
67:2,0,2,2
67:3,0,1,1
68:0,109,0,109
68:1,108,0,108
69:0,0,109,109
69:1,0,108,108
70:0,0,111,111
70:1,0,106,106
71:0,117,0,117
71:1,99,0,99
72:0,109,0,109
72:1,103,0,103
72:2,3,0,3
72:3,1,0,1
73:0,0,123,123
73:1,0,93,93
74:0,0,133,133
74:1,0,83,83
75:0,0,216,216
76:0,0,108,108
76:1,0,100,100
76:2,0,7,7
77:0,0,108,108
77:1,0,106,106
78:0,0,99,99
78:1,0,99,99
78:2,0,11,11
78:3,0,5,5
79:0,108,0,108
79:1,105,0,105
80:0,0,102,102
80:1,0,88,88
80:2,0,9,9
80:3,0,6,6
80:4,0,3,3
80:5,0,1,1
80:6,0,1,1
80:7,0,1,1
80:8,0,1,1
