
Region: ,Count: 
fr0:0, 365
fr0:1, 335
fr1:0, 429
fr1:1, 159
fr1:2, 18
fr1:3, 8
fr2:0, 388
fr2:1, 91
fr3:0, 225
fr3:1, 215
fr3:2, 1
fr3:3, 1
fr4:0, 236
fr4:1, 187
fr5:0, 234
fr5:1, 169
fr6:0, 199
fr6:1, 184
fr6:2, 1
fr7:0, 192
fr7:1, 187
fr8:0, 196
fr8:1, 180
fr8:2, 1
fr9:0, 186
fr9:1, 176
fr9:2, 1
fr9:3, 1
fr10:0, 199
fr10:1, 164
fr11:0, 177
fr11:1, 162
fr12:0, 168
fr12:1, 165
fr12:2, 4
fr12:3, 2
fr12:4, 1
fr12:5, 1
fr13:0, 175
fr13:1, 158
fr13:2, 1
fr14:0, 168
fr14:1, 163
fr15:0, 166
fr15:1, 159
fr15:2, 2
fr16:0, 165
fr16:1, 152
fr16:2, 4
fr17:0, 158
fr17:1, 154
fr17:2, 2
fr17:3, 1
fr18:0, 160
fr18:1, 154
fr19:0, 151
fr19:1, 146
fr19:2, 9
fr19:3, 1
fr20:0, 155
fr20:1, 151
fr21:0, 120
fr21:1, 93
fr21:2, 51
fr21:3, 41
fr22:0, 154
fr22:1, 147
fr23:0, 156
fr23:1, 140
fr23:2, 1
fr24:0, 112
fr24:1, 86
fr24:2, 52
fr24:3, 42
fr25:0, 147
fr25:1, 145
fr26:0, 289
fr26:1, 1
fr27:0, 146
fr27:1, 127
fr27:2, 2
fr27:3, 1
fr27:4, 1
fr27:5, 1
fr28:0, 139
fr28:1, 137
fr29:0, 139
fr29:1, 137
fr30:0, 143
fr30:1, 130
fr31:0, 143
fr31:1, 126
fr31:2, 2
fr31:3, 1
fr32:0, 138
fr32:1, 121
fr32:2, 2
fr33:0, 151
fr33:1, 109
fr34:0, 129
fr34:1, 123
fr34:2, 5
fr34:3, 2
fr35:0, 133
fr35:1, 126
fr36:0, 135
fr36:1, 119
fr37:0, 122
fr37:1, 117
fr37:2, 9
fr37:3, 5
fr38:0, 140
fr38:1, 112
fr39:0, 136
fr39:1, 112
fr40:0, 138
fr40:1, 105
fr41:0, 135
fr41:1, 108
fr42:0, 124
fr42:1, 116
fr42:2, 1
fr43:0, 120
fr43:1, 117
fr44:0, 119
fr44:1, 113
fr44:2, 1
fr44:3, 1
fr45:0, 123
fr45:1, 107
fr45:2, 1
fr45:3, 1
fr46:0, 126
fr46:1, 105
fr47:0, 118
fr47:1, 111
fr48:0, 173
fr48:1, 55
fr48:2, 1
fr49:0, 116
fr49:1, 112
fr49:2, 1
fr50:0, 133
fr50:1, 94
fr51:0, 136
fr51:1, 90
fr52:0, 127
fr52:1, 99
fr53:0, 84
fr53:1, 61
fr53:2, 46
fr53:3, 34
fr54:0, 122
fr54:1, 103
fr55:0, 119
fr55:1, 105
fr56:0, 81
fr56:1, 73
fr56:2, 41
fr56:3, 28
fr57:0, 112
fr57:1, 109
fr57:2, 1
fr58:0, 78
fr58:1, 78
fr58:2, 43
fr58:3, 23
fr59:0, 119
fr59:1, 103
fr60:0, 112
fr60:1, 109
fr61:0, 111
fr61:1, 110
fr62:0, 123
fr62:1, 94
fr62:2, 2
fr62:3, 2
fr63:0, 117
fr63:1, 103
fr64:0, 125
fr64:1, 79
fr64:2, 10
fr64:3, 5
fr65:0, 117
fr65:1, 102
fr66:0, 126
fr66:1, 93
fr67:0, 132
fr67:1, 83
fr67:2, 2
fr67:3, 1
fr68:0, 109
fr68:1, 108
fr69:0, 109
fr69:1, 108
fr70:0, 111
fr70:1, 106
fr71:0, 117
fr71:1, 99
fr72:0, 109
fr72:1, 103
fr72:2, 3
fr72:3, 1
fr73:0, 123
fr73:1, 93
fr74:0, 133
fr74:1, 83
fr75:0, 216
fr76:0, 108
fr76:1, 100
fr76:2, 7
fr77:0, 108
fr77:1, 106
fr78:0, 99
fr78:1, 99
fr78:2, 11
fr78:3, 5
fr79:0, 108
fr79:1, 105
fr80:0, 102
fr80:1, 88
fr80:2, 9
fr80:3, 6
fr80:4, 3
fr80:5, 1
fr80:6, 1
fr80:7, 1
fr80:8, 1
fr80:9, 1
fr81:0, 81
fr81:1, 77
fr81:2, 30
fr81:3, 20
fr81:4, 1
fr81:5, 1
fr81:6, 1
fr81:7, 1
fr82:0, 106
fr82:1, 94
fr82:2, 6
fr82:3, 6
fr83:0, 113
fr83:1, 97
fr83:2, 2
fr84:0, 109
fr84:1, 99
fr84:2, 1
fr84:3, 1
fr84:4, 1
fr85:0, 110
fr85:1, 91
fr85:2, 8
fr85:3, 2
fr86:0, 111
fr86:1, 96
fr86:2, 2
fr86:3, 2
fr87:0, 111
fr87:1, 100
fr88:0, 110
fr88:1, 99
fr88:2, 1
fr89:0, 93
fr89:1, 85
fr89:2, 9
fr89:3, 8
fr89:4, 7
fr89:5, 7
fr89:6, 1
fr90:0, 109
fr90:1, 99
fr90:2, 1
fr91:0, 209
fr92:0, 104
fr92:1, 104
fr93:0, 112
fr93:1, 96
fr94:0, 127
fr94:1, 81
fr95:0, 118
fr95:1, 90
fr96:0, 114
fr96:1, 93
fr97:0, 87
fr97:1, 67
fr97:2, 27
fr97:3, 17
fr97:4, 3
fr97:5, 3
fr97:6, 2
fr97:7, 1
fr98:0, 113
fr98:1, 91
fr98:2, 2
fr98:3, 1
fr99:0, 114
fr99:1, 93
fr100:0, 108
fr100:1, 96
fr100:2, 1
fr100:3, 1
fr101:0, 103
fr101:1, 103
fr102:0, 105
fr102:1, 100
fr102:2, 1
fr103:0, 111
fr103:1, 95
fr104:0, 106
fr104:1, 99
fr105:0, 112
fr105:1, 89
fr105:2, 3
fr105:3, 1
fr106:0, 112
fr106:1, 93
fr107:0, 122
fr107:1, 82
fr108:0, 107
fr108:1, 97
fr109:0, 104
fr109:1, 92
fr109:2, 4
fr109:3, 4
fr110:0, 110
fr110:1, 94
fr111:0, 97
fr111:1, 96
fr111:2, 6
fr111:3, 5
fr112:0, 103
fr112:1, 99
fr112:2, 1
fr113:0, 115
fr113:1, 77
fr113:2, 3
fr113:3, 3
fr113:4, 2
fr113:5, 2
fr113:6, 1
fr114:0, 103
fr114:1, 90
fr114:2, 5
fr114:3, 4
fr114:4, 1
fr115:0, 104
fr115:1, 99
fr116:0, 108
fr116:1, 95
fr117:0, 112
fr117:1, 91
fr118:0, 107
fr118:1, 95
fr119:0, 115
fr119:1, 87
fr120:0, 105
fr120:1, 97
fr121:0, 108
fr121:1, 81
fr121:2, 3
fr121:3, 2
fr121:4, 2
fr121:5, 1
fr121:6, 1
fr121:7, 1
fr121:8, 1
fr121:9, 1
fr121:10, 1
fr122:0, 112
fr122:1, 90
fr123:0, 114
fr123:1, 88
fr124:0, 104
fr124:1, 97
fr125:0, 199
fr125:1, 2
fr126:0, 109
fr126:1, 92
fr127:0, 95
fr127:1, 91
fr127:2, 8
fr127:3, 7
fr128:0, 112
fr128:1, 88
fr129:0, 102
fr129:1, 98
fr130:0, 107
fr130:1, 93
fr131:0, 120
fr131:1, 80
fr132:0, 107
fr132:1, 93
fr133:0, 102
fr133:1, 98
fr134:0, 101
fr134:1, 97
fr134:2, 2
fr135:0, 111
fr135:1, 89
fr136:0, 103
fr136:1, 96
fr137:0, 94
fr137:1, 91
fr137:2, 9
fr137:3, 4
fr137:4, 1
fr138:0, 106
fr138:1, 93
fr139:0, 102
fr139:1, 97
fr140:0, 104
fr140:1, 92
fr140:2, 1
fr140:3, 1
fr140:4, 1
fr141:0, 92
fr141:1, 92
fr141:2, 8
fr141:3, 7
fr142:0, 113
fr142:1, 86
fr143:0, 199
fr144:0, 110
fr144:1, 88
fr145:0, 100
fr145:1, 77
fr145:2, 12
fr145:3, 9
fr146:0, 104
fr146:1, 94
fr147:0, 95
fr147:1, 79
fr147:2, 12
fr147:3, 12
fr148:0, 100
fr148:1, 98
fr149:0, 98
fr149:1, 98
fr149:2, 1
fr150:0, 97
fr150:1, 70
fr150:2, 9
fr150:3, 8
fr150:4, 3
fr150:5, 2
fr150:6, 1
fr150:7, 1
fr150:8, 1
fr150:9, 1
fr150:10, 1
fr150:11, 1
fr150:12, 1
fr150:13, 1
fr151:0, 115
fr151:1, 82
fr152:0, 101
fr152:1, 95
fr153:0, 91
fr153:1, 88
fr153:2, 10
fr153:3, 7
fr154:0, 91
fr154:1, 91
fr154:2, 8
fr154:3, 5
fr154:4, 1
fr155:0, 105
fr155:1, 88
fr155:2, 2
fr155:3, 1
fr156:0, 108
fr156:1, 86
fr156:2, 1
fr156:3, 1
fr157:0, 107
fr157:1, 80
fr157:2, 3
fr157:3, 2
fr157:4, 2
fr157:5, 1
fr157:6, 1
fr158:0, 99
fr158:1, 97
fr159:0, 101
fr159:1, 95
fr160:0, 96
fr160:1, 87
fr160:2, 4
fr160:3, 4
fr160:4, 3
fr160:5, 2
fr161:0, 111
fr161:1, 85
fr162:0, 195
fr163:0, 112
fr163:1, 83
fr164:0, 103
fr164:1, 79
fr164:2, 10
fr164:3, 3
fr165:0, 98
fr165:1, 85
fr165:2, 5
fr165:3, 5
fr165:4, 1
fr165:5, 1
fr166:0, 99
fr166:1, 72
fr166:2, 12
fr166:3, 8
fr166:4, 3
fr166:5, 1
fr167:0, 100
fr167:1, 92
fr167:2, 2
fr167:3, 1
fr168:0, 87
fr168:1, 71
fr168:2, 21
fr168:3, 15
fr168:4, 1
fr169:0, 99
fr169:1, 81
fr169:2, 11
fr169:3, 3
fr170:0, 122
fr170:1, 72
fr171:0, 102
fr171:1, 92
fr172:0, 97
fr172:1, 95
fr172:2, 2
fr173:0, 88
fr173:1, 83
fr173:2, 14
fr173:3, 8
fr174:0, 100
fr174:1, 92
fr174:2, 1
fr175:0, 101
fr175:1, 90
fr175:2, 2
fr176:0, 95
fr176:1, 71
fr176:2, 15
fr176:3, 10
fr176:4, 1
fr176:5, 1
fr177:0, 97
fr177:1, 95
fr177:2, 1
fr178:0, 115
fr178:1, 78
fr179:0, 62
fr179:1, 61
fr179:2, 24
fr179:3, 23
fr179:4, 9
fr179:5, 9
fr179:6, 1
fr179:7, 1
fr179:8, 1
fr179:9, 1
fr179:10, 1
fr180:0, 109
fr180:1, 83
fr180:2, 1
fr181:0, 104
fr181:1, 89
fr182:0, 96
fr182:1, 94
fr182:2, 2
fr183:0, 104
fr183:1, 88
fr184:0, 96
fr184:1, 93
fr184:2, 2
fr184:3, 1
fr185:0, 96
fr185:1, 96
fr186:0, 101
fr186:1, 88
fr186:2, 3
fr187:0, 108
fr187:1, 79
fr187:2, 4
fr187:3, 1
fr188:0, 67
fr188:1, 61
fr188:2, 29
fr188:3, 21
fr188:4, 11
fr188:5, 3
fr189:0, 104
fr189:1, 83
fr189:2, 3
fr189:3, 1
fr189:4, 1
fr190:0, 100
fr190:1, 89
fr190:2, 2
fr190:3, 1
fr191:0, 101
fr191:1, 88
fr191:2, 1
fr191:3, 1
fr192:0, 109
fr192:1, 80
fr192:2, 2
fr193:0, 104
fr193:1, 87
fr194:0, 96
fr194:1, 95
fr195:0, 105
fr195:1, 85
fr195:2, 1
fr196:0, 97
fr196:1, 93
fr196:2, 1
fr197:0, 103
fr197:1, 88
fr198:0, 99
fr198:1, 92
fr199:0, 106
fr199:1, 78
fr199:2, 3
fr199:3, 2
fr199:4, 2
fr200:0, 98
fr200:1, 92
fr200:2, 1
fr201:0, 108
fr201:1, 80
fr201:2, 1
fr201:3, 1
fr202:0, 116
fr202:1, 74
fr203:0, 95
fr203:1, 89
fr203:2, 4
fr203:3, 2
fr204:0, 102
fr204:1, 88
fr205:0, 93
fr205:1, 93
fr205:2, 1
fr205:3, 1
fr205:4, 1
fr206:0, 102
fr206:1, 87
fr207:0, 97
fr207:1, 87
fr207:2, 4
