Region:, Group 1: medtr,Group 2: Other
0,0,1,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,0,1,0
6,0,1,0
7,1,0,0
8,0,1,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,1,1
13,1,0,0
14,0,1,0
15,0,1,0
16,1,0,0
17,0,1,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,0,1,0
26,1,0,0
27,1,0,0
28,1,0,0
29,0,1,0
30,1,0,0
31,1,0,0
32,0,1,0
33,1,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,0,1,0
38,0,1,0
39,0,1,0
40,0,1,0
41,0,1,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,1,0,0
48,1,0,0
49,0,1,0
50,0,1,0
51,1,0,0
52,0,1,0
53,0,1,0
54,0,1,0
55,0,1,0
56,1,0,0
57,1,0,0
58,0,1,0
59,0,1,0
60,1,0,0
61,0,1,0
62,0,1,0
63,1,0,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,1,0,0
69,0,1,0
70,0,1,0
71,1,0,0
72,1,0,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,1,0,0
80,0,1,0
81,1,0,0
82,0,1,0
83,0,1,0
84,1,0,0
85,1,0,0
86,0,1,0
87,0,1,0
88,1,0,0
89,0,1,0
90,0,1,0
91,0,1,0
92,1,0,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,1,0,0
101,1,0,0
102,0,1,0
103,0,1,0
104,0,1,0
105,0,1,0
106,1,0,0
107,1,0,0
108,0,1,0
109,0,1,0
110,0,1,0
111,0,1,0
112,1,0,0
113,0,1,0
114,0,1,0
115,0,1,0
116,0,1,0
117,0,1,0
118,1,0,0
119,0,1,0
120,0,1,0
121,0,1,0
122,0,1,0
123,0,1,0
124,1,0,0
125,1,0,0
126,0,1,0
127,0,1,0
128,1,0,0
129,0,1,0
130,0,1,0
131,0,1,0
132,0,1,0
133,0,1,0
134,0,1,0
135,0,1,0
136,1,0,0
137,0,1,0
138,0,1,0
139,0,1,0
140,0,1,0
141,0,1,0
142,0,1,0
143,1,0,0
144,1,0,0
145,0,1,0
146,0,1,0
147,0,1,0
148,0,1,0
149,1,0,0
150,0,1,0
151,0,1,0
152,1,0,0
153,0,1,0
154,0,1,0
155,0,1,0
156,0,1,0
157,0,1,0
158,0,1,0
159,0,1,0
160,0,1,0
161,0,1,0
162,1,0,0
163,0,1,0
164,0,1,0
165,0,1,0
166,0,1,0
167,0,1,0
168,0,1,0
169,1,0,0
170,0,1,0
171,0,1,0
172,0,1,0
173,1,0,0
174,1,0,0
175,0,1,0
176,0,1,0
177,0,1,0
178,0,1,0
179,0,1,0
180,0,1,0
181,0,1,0
182,1,0,0
183,1,0,0
184,0,1,0
185,0,1,0
186,0,1,0
187,0,1,0
188,0,1,0
189,0,1,0
190,0,1,0
191,1,0,0
192,0,1,0
193,0,1,0
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,0,1,0
200,1,0,0
201,0,1,0
202,0,1,0
203,0,1,0
204,0,1,0
205,1,0,0
206,1,0,0
207,0,1,0
208,0,1,0
209,0,1,0
210,0,1,0
211,0,1,0
212,0,1,0
213,0,1,0
214,0,1,0
215,0,1,0
216,1,0,0
217,0,1,0
218,0,1,0
219,0,1,0
220,0,1,0
221,0,1,0
